# {"time_iso8601_last_update_rki": "2021-08-16T17:00:00+0000", "time_iso8601_last_update_rl": "2021-08-17T08:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
8335,LK Konstanz,Baden-Württemberg,286305,11804,30.39,296,11744,27.59,296
8336,LK Lörrach,Baden-Württemberg,228736,10241,39.78,300,10241,39.78,302
8337,LK Waldshut,Baden-Württemberg,171003,7929,30.99,225,7632,25.15,210
8415,LK Reutlingen,Baden-Württemberg,287034,13944,18.81,281,13938,17.07,271
8416,LK Tübingen,Baden-Württemberg,228678,9551,24.93,182,9534,24.49,182
8417,LK Zollernalbkreis,Baden-Württemberg,189363,9380,26.93,175,9380,26.93,175
8421,SK Ulm,Baden-Württemberg,126790,6064,24.45,85,6039,23.66,85
8425,LK Alb-Donau-Kreis,Baden-Württemberg,197076,9033,21.82,179,8981,20.30,180
8426,LK Biberach,Baden-Württemberg,201282,8985,35.77,178,8985,34.78,178
8435,LK Bodenseekreis,Baden-Württemberg,217470,7957,31.73,158,7952,30.81,158
8436,LK Ravensburg,Baden-Württemberg,285424,11537,34.33,150,11252,31.53,141
8437,LK Sigmaringen,Baden-Württemberg,130849,5905,29.81,88,5636,26.75,85
9161,SK Ingolstadt,Bayern,137392,6343,25.47,115,6334,23.29,115
9162,SK München,Bayern,1484226,75802,34.23,1275,75882,32.54,1275
9163,SK Rosenheim,Bayern,63551,3994,47.21,67,4004,62.94,67
9171,LK Altötting,Bayern,111516,6137,34.97,210,6145,36.77,210
9172,LK Berchtesgadener Land,Bayern,105929,6275,51.92,102,6283,52.87,102
9173,LK Bad Tölz-Wolfratshausen,Bayern,127917,5214,25.80,80,5217,25.80,80
9174,LK Dachau,Bayern,154899,8447,61.33,143,8446,53.58,143
9175,LK Ebersberg,Bayern,143649,6482,26.45,181,6484,27.15,181
9176,LK Eichstätt,Bayern,132881,5236,45.91,86,5197,45.91,86
9177,LK Erding,Bayern,138182,7200,43.42,118,7123,44.87,119
9178,LK Freising,Bayern,180007,8481,45.55,135,8485,35.55,136
9179,LK Fürstenfeldbruck,Bayern,219311,9946,29.18,140,9953,31.92,141
9180,LK Garmisch-Partenkirchen,Bayern,88424,4120,26.01,87,3690,20.36,87
9181,LK Landsberg a.Lech,Bayern,120302,4180,12.47,71,4183,13.30,71
9182,LK Miesbach,Bayern,100010,4667,30.00,83,4665,30.00,83
9183,LK Mühldorf a.Inn,Bayern,115872,7077,60.41,156,7089,62.14,155
9184,LK München,Bayern,350473,15617,29.10,294,15734,29.96,294
9185,LK Neuburg-Schrobenhausen,Bayern,97303,4264,34.94,82,4266,35.97,81
9186,LK Pfaffenhofen a.d.Ilm,Bayern,128227,5745,21.06,159,5748,20.28,159
9187,LK Rosenheim,Bayern,261330,14168,41.71,464,14181,45.15,464
9188,LK Starnberg,Bayern,136667,5252,21.95,116,5256,27.07,113
9189,LK Traunstein,Bayern,177319,11245,23.69,217,11244,21.99,217
9190,LK Weilheim-Schongau,Bayern,135478,5290,38.38,84,5304,45.76,84
9261,SK Landshut,Bayern,73411,4157,24.52,117,4158,24.52,117
9262,SK Passau,Bayern,52803,3402,22.73,117,3402,22.73,118
9263,SK Straubing,Bayern,47791,2400,12.55,87,2400,12.55,87
9271,LK Deggendorf,Bayern,119478,7124,46.03,160,7125,44.36,160
9272,LK Freyung-Grafenau,Bayern,78362,4944,7.66,128,4948,11.49,128
9273,LK Kelheim,Bayern,123058,6004,16.25,110,6006,17.07,110
9274,LK Landshut,Bayern,159895,8128,18.76,169,8129,16.89,169
9275,LK Passau,Bayern,192656,12992,21.28,394,12993,16.61,377
9276,LK Regen,Bayern,77410,5622,54.26,163,5623,46.51,163
9277,LK Rottal-Inn,Bayern,121502,7629,16.46,182,7629,16.46,182
9278,LK Straubing-Bogen,Bayern,101120,5444,14.83,141,5445,15.82,141
9279,LK Dingolfing-Landau,Bayern,96683,5979,94.12,99,5991,83.78,99
9361,SK Amberg,Bayern,42207,1808,45.02,24,1810,49.75,24
9362,SK Regensburg,Bayern,153094,7217,35.27,92,7223,37.89,92
9363,SK Weiden i.d.OPf.,Bayern,42743,2745,77.21,98,2746,79.55,98
9371,LK Amberg-Sulzbach,Bayern,103049,4895,20.38,160,4899,24.26,160
9372,LK Cham,Bayern,127998,7209,21.88,182,7209,21.88,183
9373,LK Neumarkt i.d.OPf.,Bayern,134573,6938,16.35,142,6625,17.83,142
9374,LK Neustadt a.d.Waldnaab,Bayern,94450,5312,28.59,188,5313,23.29,188
9375,LK Regensburg,Bayern,194070,8464,23.19,210,8465,22.16,210
9376,LK Schwandorf,Bayern,147872,8532,12.17,157,8544,20.29,157
9377,LK Tirschenreuth,Bayern,72046,5351,31.92,265,5351,30.54,265
9461,SK Bamberg,Bayern,77373,3250,62.04,108,3256,47.82,108
9462,SK Bayreuth,Bayern,74783,3541,21.40,112,3521,17.38,110
9463,SK Coburg,Bayern,41072,2422,14.61,92,2422,14.61,92
9464,SK Hof,Bayern,45825,4002,24.00,117,4004,24.00,117
9471,LK Bamberg,Bayern,147163,5797,14.27,146,5751,21.74,146
9472,LK Bayreuth,Bayern,103664,4953,11.58,157,4964,12.54,163
9473,LK Coburg,Bayern,86747,4933,13.83,161,4933,13.83,161
9474,LK Forchheim,Bayern,116203,4851,6.88,113,4860,7.75,113
9475,LK Hof,Bayern,94801,6428,10.55,157,6431,12.66,157
9476,LK Kronach,Bayern,66743,4251,17.98,96,4251,17.98,96
